"class_code"	"definition"	"description"	 
"LL~5"	"'An ordinary chondrite from the LL group that is approximately petrologic type 5.'"	"ordinary chondrite: A major class of chondrites, distinguished by sub-solar Mg/Si and refractory/Si ratios, oxygen isotope compositions that plot above the terrestrial fractionation line, and a large volume percentage of chondrules, with only 10-15 vol% fine-grained matrix.<br><br>LL group: The low-iron, low metal (LL) chemical group of ordinary chondrites, distinguished by their low siderophile element content, fairly large chondrules (~0.9 mm), and oxygen isotope compositions that are further above the terrestrial fractionation line than those of other ordinary chondrites. .<br><br>type 5: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize olivine and pyroxene, convert all low-Ca pyroxene to orthopyroxene, cause the growth of various secondary minerals, and blur chondrule outlines.  <br><br>LL group: The low-iron, low metal (LL) chemical group of ordinary chondrites, distinguished by their low siderophile element content, fairly large chondrules (~0.9 mm), and oxygen isotope compositions that are further above the terrestrial fractionation line than those of other ordinary chondrites. .<br><br>type 5: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize olivine and pyroxene, convert all low-Ca pyroxene to orthopyroxene, cause the growth of various secondary minerals, and blur chondrule outlines.  <br><br>type 5: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize olivine and pyroxene, convert all low-Ca pyroxene to orthopyroxene, cause the growth of various secondary minerals, and blur chondrule outlines.  <br><br>"	
"Chondrite-ung"	"'An ungrouped chondrite that has not or can not be assigned to one of the major classes like carbonaceous chondrites or ordinary chondrites.'"	"ungrouped: Describes meteorites which have been well-enough characterized to determine that they do not fit into any of the established groups.<br><br>carbonaceous chondrite: A major class of chondrites that mostly have Mg/Si ratios near the solar value and oxygen isotope compositions that plot below the terrestrial fractionation line.<br><br>ordinary chondrite: A major class of chondrites, distinguished by sub-solar Mg/Si and refractory/Si ratios, oxygen isotope compositions that plot above the terrestrial fractionation line, and a large volume percentage of chondrules, with only 10-15 vol% fine-grained matrix.<br><br>carbonaceous chondrite: A major class of chondrites that mostly have Mg/Si ratios near the solar value and oxygen isotope compositions that plot below the terrestrial fractionation line.<br><br>ordinary chondrite: A major class of chondrites, distinguished by sub-solar Mg/Si and refractory/Si ratios, oxygen isotope compositions that plot above the terrestrial fractionation line, and a large volume percentage of chondrules, with only 10-15 vol% fine-grained matrix.<br><br>ordinary chondrite: A major class of chondrites, distinguished by sub-solar Mg/Si and refractory/Si ratios, oxygen isotope compositions that plot above the terrestrial fractionation line, and a large volume percentage of chondrules, with only 10-15 vol% fine-grained matrix.<br><br>"	
"CO3.6"	"'A carbonaceous chondrite of the CO group that is petrologic type 3.'"	"carbonaceous chondrite: A major class of chondrites that mostly have Mg/Si ratios near the solar value and oxygen isotope compositions that plot below the terrestrial fractionation line.<br><br>CO group: The Ornans (CO) chemical group of carbonaceous chondrites, distinguished by small chondrules and refractory inclusions (<0.2 mm) occupying about half the volume of the rock, and generally showing a low degree of aqueous alteration.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>CO group: The Ornans (CO) chemical group of carbonaceous chondrites, distinguished by small chondrules and refractory inclusions (<0.2 mm) occupying about half the volume of the rock, and generally showing a low degree of aqueous alteration.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>"	
"LL3.7-6"	"'An ordinary chondrite from the LL group that is a breccia of components ranging from petrologic type 3 to type 6.'"	"ordinary chondrite: A major class of chondrites, distinguished by sub-solar Mg/Si and refractory/Si ratios, oxygen isotope compositions that plot above the terrestrial fractionation line, and a large volume percentage of chondrules, with only 10-15 vol% fine-grained matrix.<br><br>LL group: The low-iron, low metal (LL) chemical group of ordinary chondrites, distinguished by their low siderophile element content, fairly large chondrules (~0.9 mm), and oxygen isotope compositions that are further above the terrestrial fractionation line than those of other ordinary chondrites. .<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>type 6: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize all mineral compositions, convert all low-Ca pyroxene to orthopyroxene, coarsen secondary phases such as feldspar to sizes ≥50 µm, and obliterate many chondrule outlines; no melting has occurred.<br><br>LL group: The low-iron, low metal (LL) chemical group of ordinary chondrites, distinguished by their low siderophile element content, fairly large chondrules (~0.9 mm), and oxygen isotope compositions that are further above the terrestrial fractionation line than those of other ordinary chondrites. .<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>type 6: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize all mineral compositions, convert all low-Ca pyroxene to orthopyroxene, coarsen secondary phases such as feldspar to sizes ≥50 µm, and obliterate many chondrule outlines; no melting has occurred.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>type 6: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize all mineral compositions, convert all low-Ca pyroxene to orthopyroxene, coarsen secondary phases such as feldspar to sizes ≥50 µm, and obliterate many chondrule outlines; no melting has occurred.<br><br>type 6: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize all mineral compositions, convert all low-Ca pyroxene to orthopyroxene, coarsen secondary phases such as feldspar to sizes ≥50 µm, and obliterate many chondrule outlines; no melting has occurred.<br><br>"	
"LL3-5"	"'An ordinary chondrite from the LL group that is a breccia of components ranging from petrologic type 3 to type 5.'"	"ordinary chondrite: A major class of chondrites, distinguished by sub-solar Mg/Si and refractory/Si ratios, oxygen isotope compositions that plot above the terrestrial fractionation line, and a large volume percentage of chondrules, with only 10-15 vol% fine-grained matrix.<br><br>LL group: The low-iron, low metal (LL) chemical group of ordinary chondrites, distinguished by their low siderophile element content, fairly large chondrules (~0.9 mm), and oxygen isotope compositions that are further above the terrestrial fractionation line than those of other ordinary chondrites. .<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>type 5: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize olivine and pyroxene, convert all low-Ca pyroxene to orthopyroxene, cause the growth of various secondary minerals, and blur chondrule outlines.  <br><br>LL group: The low-iron, low metal (LL) chemical group of ordinary chondrites, distinguished by their low siderophile element content, fairly large chondrules (~0.9 mm), and oxygen isotope compositions that are further above the terrestrial fractionation line than those of other ordinary chondrites. .<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>type 5: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize olivine and pyroxene, convert all low-Ca pyroxene to orthopyroxene, cause the growth of various secondary minerals, and blur chondrule outlines.  <br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>type 5: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize olivine and pyroxene, convert all low-Ca pyroxene to orthopyroxene, cause the growth of various secondary minerals, and blur chondrule outlines.  <br><br>type 5: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize olivine and pyroxene, convert all low-Ca pyroxene to orthopyroxene, cause the growth of various secondary minerals, and blur chondrule outlines.  <br><br>"	
"Lunar (anorth)"	"'A lunar meteorite that is primarily anorthositic.'"	"lunar meteorite: Lunar meteorites are lunar rocks that were ejected from the Moon by impacts and later fell to the Earth as meteorites.  .<br><br>"	
"Martian (nakhlite)"	"'A martian meteorite belonging to the nakhlite type.'"	"martian meteorite: Martian meteorites are martian rocks that were ejected from Mars by impacts and later fell to the Earth as meteorites. Three well-known types are shergottites (basaltic to lherzolitic igneous rocks, named after the Shergotty, India, fall of 1865), nakhlites (clinopyroxenites or wehrlites, formed as cumulate rocks, and named after the Nakhla, Egypt, fall of 1911), and chassignites (dunitic cumulate rocks named after the Chassigny, France, fall of 1815).<br><br>"	
"CO3.3"	"'A carbonaceous chondrite of the CO group that is petrologic type 3.'"	"carbonaceous chondrite: A major class of chondrites that mostly have Mg/Si ratios near the solar value and oxygen isotope compositions that plot below the terrestrial fractionation line.<br><br>CO group: The Ornans (CO) chemical group of carbonaceous chondrites, distinguished by small chondrules and refractory inclusions (<0.2 mm) occupying about half the volume of the rock, and generally showing a low degree of aqueous alteration.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>CO group: The Ornans (CO) chemical group of carbonaceous chondrites, distinguished by small chondrules and refractory inclusions (<0.2 mm) occupying about half the volume of the rock, and generally showing a low degree of aqueous alteration.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>"	
"LL6"	"'An ordinary chondrite from the LL group that is petrologic type 6.'"	"ordinary chondrite: A major class of chondrites, distinguished by sub-solar Mg/Si and refractory/Si ratios, oxygen isotope compositions that plot above the terrestrial fractionation line, and a large volume percentage of chondrules, with only 10-15 vol% fine-grained matrix.<br><br>LL group: The low-iron, low metal (LL) chemical group of ordinary chondrites, distinguished by their low siderophile element content, fairly large chondrules (~0.9 mm), and oxygen isotope compositions that are further above the terrestrial fractionation line than those of other ordinary chondrites. .<br><br>type 6: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize all mineral compositions, convert all low-Ca pyroxene to orthopyroxene, coarsen secondary phases such as feldspar to sizes ≥50 µm, and obliterate many chondrule outlines; no melting has occurred.<br><br>LL group: The low-iron, low metal (LL) chemical group of ordinary chondrites, distinguished by their low siderophile element content, fairly large chondrules (~0.9 mm), and oxygen isotope compositions that are further above the terrestrial fractionation line than those of other ordinary chondrites. .<br><br>type 6: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize all mineral compositions, convert all low-Ca pyroxene to orthopyroxene, coarsen secondary phases such as feldspar to sizes ≥50 µm, and obliterate many chondrule outlines; no melting has occurred.<br><br>type 6: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize all mineral compositions, convert all low-Ca pyroxene to orthopyroxene, coarsen secondary phases such as feldspar to sizes ≥50 µm, and obliterate many chondrule outlines; no melting has occurred.<br><br>"	
"L-melt rock"	"'An ordinary chondrite from the L group that has experienced secondary melting.'"	"ordinary chondrite: A major class of chondrites, distinguished by sub-solar Mg/Si and refractory/Si ratios, oxygen isotope compositions that plot above the terrestrial fractionation line, and a large volume percentage of chondrules, with only 10-15 vol% fine-grained matrix.<br><br>L group: The low-iron (L) chemical group of ordinary chondrites, distinguished by their relatively low siderophile element content, moderate sized chondrules (~0.7 mm), and oxygen isotope compositions that intermediate between H and LL group ordinary chondrites.<br><br>L group: The low-iron (L) chemical group of ordinary chondrites, distinguished by their relatively low siderophile element content, moderate sized chondrules (~0.7 mm), and oxygen isotope compositions that intermediate between H and LL group ordinary chondrites.<br><br>"	
"H/L3.6"	"'An ordinary chondrite from either the H group or L group that is petrologic type 3.'"	"ordinary chondrite: A major class of chondrites, distinguished by sub-solar Mg/Si and refractory/Si ratios, oxygen isotope compositions that plot above the terrestrial fractionation line, and a large volume percentage of chondrules, with only 10-15 vol% fine-grained matrix.<br><br>H group: The high-iron (H) chemical group of ordinary chondrites, distinguished by their high siderophile element content, relatively small chondrules (~0.3 mm), and oxygen isotope compositions that are closer to the terrestrial fractionation line than those of other ordinary chondrites.<br><br>L group: The low-iron (L) chemical group of ordinary chondrites, distinguished by their relatively low siderophile element content, moderate sized chondrules (~0.7 mm), and oxygen isotope compositions that intermediate between H and LL group ordinary chondrites.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>H group: The high-iron (H) chemical group of ordinary chondrites, distinguished by their high siderophile element content, relatively small chondrules (~0.3 mm), and oxygen isotope compositions that are closer to the terrestrial fractionation line than those of other ordinary chondrites.<br><br>L group: The low-iron (L) chemical group of ordinary chondrites, distinguished by their relatively low siderophile element content, moderate sized chondrules (~0.7 mm), and oxygen isotope compositions that intermediate between H and LL group ordinary chondrites.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>L group: The low-iron (L) chemical group of ordinary chondrites, distinguished by their relatively low siderophile element content, moderate sized chondrules (~0.7 mm), and oxygen isotope compositions that intermediate between H and LL group ordinary chondrites.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>"	
"CV3"	"'A carbonaceous chondrite of the CV group that is petrologic type 3.'"	"carbonaceous chondrite: A major class of chondrites that mostly have Mg/Si ratios near the solar value and oxygen isotope compositions that plot below the terrestrial fractionation line.<br><br>CV group: The Vigarano (CV) chemical group of carbonaceous chondrites, distinguished by large (mm-sized) chondrules, many of which are surrounded by igneous rims, large refractory inclusions and abundant matrix (40 vol%); CV chondrites may be divided into oxidized and reduced subgroups.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>CV group: The Vigarano (CV) chemical group of carbonaceous chondrites, distinguished by large (mm-sized) chondrules, many of which are surrounded by igneous rims, large refractory inclusions and abundant matrix (40 vol%); CV chondrites may be divided into oxidized and reduced subgroups.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>"	
"L4"	"'An ordinary chondrite from the L group that is petrologic type 4.'"	"ordinary chondrite: A major class of chondrites, distinguished by sub-solar Mg/Si and refractory/Si ratios, oxygen isotope compositions that plot above the terrestrial fractionation line, and a large volume percentage of chondrules, with only 10-15 vol% fine-grained matrix.<br><br>L group: The low-iron (L) chemical group of ordinary chondrites, distinguished by their relatively low siderophile element content, moderate sized chondrules (~0.7 mm), and oxygen isotope compositions that intermediate between H and LL group ordinary chondrites.<br><br>type 4: Designates chondrites that are characterized by abundant chondrules, and have been metamorphosed under conditions sufficient to homogenize olivine compositions and recrystallize fine-grained matrix.  Some of the low-Ca pyroxene grains may be monoclinic and exhibit polysynthetic twinning.  Primary igneous chondrule glass is absent.<br><br>L group: The low-iron (L) chemical group of ordinary chondrites, distinguished by their relatively low siderophile element content, moderate sized chondrules (~0.7 mm), and oxygen isotope compositions that intermediate between H and LL group ordinary chondrites.<br><br>type 4: Designates chondrites that are characterized by abundant chondrules, and have been metamorphosed under conditions sufficient to homogenize olivine compositions and recrystallize fine-grained matrix.  Some of the low-Ca pyroxene grains may be monoclinic and exhibit polysynthetic twinning.  Primary igneous chondrule glass is absent.<br><br>type 4: Designates chondrites that are characterized by abundant chondrules, and have been metamorphosed under conditions sufficient to homogenize olivine compositions and recrystallize fine-grained matrix.  Some of the low-Ca pyroxene grains may be monoclinic and exhibit polysynthetic twinning.  Primary igneous chondrule glass is absent.<br><br>"	
"R3.8-5"	"'An R chondrite that is a breccia of components ranging from petrologic type 3 to type 5.'"	"R chondrite: The Rumuruti (R) group of chondrites does not clearly belong to any of the major classes of chondrites (ordinary, carbonaceous, enstatite);  R chondrites have sub-solar Mg/Si and refractory/Si ratios, oxygen isotope compositions that plot above the terrestrial fractionation line and ordinary chondrites, and highly oxidized mineralogy.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>type 5: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize olivine and pyroxene, convert all low-Ca pyroxene to orthopyroxene, cause the growth of various secondary minerals, and blur chondrule outlines.  <br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>type 5: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize olivine and pyroxene, convert all low-Ca pyroxene to orthopyroxene, cause the growth of various secondary minerals, and blur chondrule outlines.  <br><br>type 5: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize olivine and pyroxene, convert all low-Ca pyroxene to orthopyroxene, cause the growth of various secondary minerals, and blur chondrule outlines.  <br><br>"	
"Angrite"	"'An achondrite belonging to the angrite group.'"	"achondrite: A stony meteorite that lacks chondrules and originated on a differentiated parent body.<br><br>angrite: Angrites, named after the Angra dos Reis, Brazil, fall of 1869, are a relatively rare type of basaltic achondrite with low alkali contents, high Ca/Al ratios, and a distinctive mineral assemblage, generally including Al-Ca-Ti-rich pyroxene, Ca-rich plagioclase, and Ca-rich olivine that may have exsolved the mineral kirschsteinite.<br><br>angrite: Angrites, named after the Angra dos Reis, Brazil, fall of 1869, are a relatively rare type of basaltic achondrite with low alkali contents, high Ca/Al ratios, and a distinctive mineral assemblage, generally including Al-Ca-Ti-rich pyroxene, Ca-rich plagioclase, and Ca-rich olivine that may have exsolved the mineral kirschsteinite.<br><br>"	
"L3/4"	"'An ordinary chondrite from the L group that is either petrologic type 3 or type 4.'"	"ordinary chondrite: A major class of chondrites, distinguished by sub-solar Mg/Si and refractory/Si ratios, oxygen isotope compositions that plot above the terrestrial fractionation line, and a large volume percentage of chondrules, with only 10-15 vol% fine-grained matrix.<br><br>L group: The low-iron (L) chemical group of ordinary chondrites, distinguished by their relatively low siderophile element content, moderate sized chondrules (~0.7 mm), and oxygen isotope compositions that intermediate between H and LL group ordinary chondrites.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>type 4: Designates chondrites that are characterized by abundant chondrules, and have been metamorphosed under conditions sufficient to homogenize olivine compositions and recrystallize fine-grained matrix.  Some of the low-Ca pyroxene grains may be monoclinic and exhibit polysynthetic twinning.  Primary igneous chondrule glass is absent.<br><br>L group: The low-iron (L) chemical group of ordinary chondrites, distinguished by their relatively low siderophile element content, moderate sized chondrules (~0.7 mm), and oxygen isotope compositions that intermediate between H and LL group ordinary chondrites.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>type 4: Designates chondrites that are characterized by abundant chondrules, and have been metamorphosed under conditions sufficient to homogenize olivine compositions and recrystallize fine-grained matrix.  Some of the low-Ca pyroxene grains may be monoclinic and exhibit polysynthetic twinning.  Primary igneous chondrule glass is absent.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>type 4: Designates chondrites that are characterized by abundant chondrules, and have been metamorphosed under conditions sufficient to homogenize olivine compositions and recrystallize fine-grained matrix.  Some of the low-Ca pyroxene grains may be monoclinic and exhibit polysynthetic twinning.  Primary igneous chondrule glass is absent.<br><br>type 4: Designates chondrites that are characterized by abundant chondrules, and have been metamorphosed under conditions sufficient to homogenize olivine compositions and recrystallize fine-grained matrix.  Some of the low-Ca pyroxene grains may be monoclinic and exhibit polysynthetic twinning.  Primary igneous chondrule glass is absent.<br><br>"	
